barcode,name,cost,sell
6260161404671,بطاطس مقليه كلاسيك 750غ بمينا,1748,2250
733968634528,صودا ليمون sariblnd دبدوب,375,750
6253504113705,معطر توري ملابس وسط,1833,2000
8690120062358,نستله نبر ون مشكل TORKU,223,250
6253504110087,معطر عام lamis 700ml,1417,1750
6251073005070,جبس داليا 48ق كيس,177,250
8681863043278,كيك تمورو 77 tomorrow مشكل,95,125
6251089005514,عصير رند 250مل زجاجي,355,500
4792007784224,شاي تفاحه 200g كيس,1575,1750
5285007240412,زيت جيهان 1لتر بطل,2150,2250
6261149137086,شيرين عسل ازرق 60ق شوكو كيك,100,125
8690526060279,petit beurre 370g 2pac بسكت,1565,1750
8697422631008,ماجي بقر 10غرام مكعبات زير,87,200
634240130472,جداحه هيتر fenix,140,250
6260007406487,حليب بكاه باكيت 200مل مشكل,218,250
8681002384958,اصابع كاكاو بليني 42غ مشكل,208,250
6251044000806,جبس ليز وسط مشكل,417,500
8680145680187,زيتون اسود شرائح heja 370g,791,1000
8681820101409,حمص حب الطازج 400غ معدني,625,1000
162510174470106,ملعقه سفري 50قطعه صغير,175,500
6291052348569,همبركر لحم تايم فود اماراتي,1875,2500
6290050108939,شوفان الطازج الذهبي علبه,1104,1750
8681161905650,نستله الواح X5 ككو,208,250
6281006583825,صابون لوكس  170غ مشكل lux,895,1000
8697439304056,الواح كاكاو كلاسك 24ق CLASSIC,204,250
8682655019297,ككو الواح عمار,204,250
6253804980205,جبس لايك بيتزا مستر ماكس,166,250
6271002119111,قشطه قيمر صغير,438,500
1330336091847,كاري طاحونة المختار 100غم,541,750
8935330209651,عصير فينوت 250مل مشكل,666,750
6253804980724,عصير يومي 200مل باكيت,131,250
8681153910327,ستيك اردم STICK ككو,200,250
8682109800488,نستله مميز تايكر صغير,97,125
6260161549358,جبن مارغاريتا للبيتزا 500غرام كيس,3700,4000
8682655014322,الواح اماسي 24ق AMASI,211,250
140788141501652795,حلقوم ماعون مشكل صغير الموصل,750,1000
2331022045679,خبز صاج الرحمه,1375,1750
6212201012117,ببسي 1.75لتر بطل,960,1250
8690547030022,فانيلين كنتون KENTON,51,200
6253504111817,صابون توري علبه 4قطع touri,1705,2000
8690562003421,بسكويت بالسمسم Susamli,194,250
140788141501652791,لهايه اطفال عادي ملون,133,250
9504000266417,زيت الدار 1لتر بطل,1950,2250
8681863047146,ويفر بالكريما 77 24ق MARDAN مشكل,98,125
6291003023415,بسكويت محشو بالكريمه اوتو 18غ otto,109,125
140788141501652784,هيل كيس اخضر AKBAR,5100,6500
8697713823877,زاهي بيروز 750مل PEROS مشكل,834,1000
8548474141055,برغل بالشعريه 400غ الرؤى ALROAA,475,500
8681002385764,نوغا بينوت 45غ peanut,208,250
8681407001474,دهن زير 1لتر قوطيه مدور,2875,3250
6251089007068,حليب رند 200مل,218,250
8698985610349,بسكت عهد الوالي Ahadalweli,198,250
6260000568274,معجون الرحمه 800غ معدني,1333,1750
619185647599,برغل وسط 500غ داس,525,750
8850124011053,coffee mate مبيض علبه 400g,2866,3250
8697439308528,نستل مستر بكسل 24ق pixel bite,209,250
8691066188058,ويفر ماستر 65غ مشكل,450,500
4823116826434,اجنحه دجاج مقرمش 700غ كواليكو,4142,4500
633152007537,شعريه كنافه 150غ كيس Mehran,437,1500
8680417208736,لحم لانشو دجاج 340غ مدور التونسا,750,1000
8938504901849,سمك فراشه مجمد كيلوات,3083,3500
8699037097712,جبن بيتزا عكاوي 250غ مرسين,2958,3500
